authorid,author_name
1,Kyrie Irving
2,ChatGPT
3,Patrick Star
4,Lemongrab
5,Jesus Christ
6,Rick (“Rick and Morty”)
7,Morty (“Rick and Morty”)
8,Donald Trump
9,Jaylen Brown
10,Zion Williamson
11,Jaden Smith
12,Old Tart Toter (from “Adventure Time”)
13,Beth (from “Rick and Morty”)
14,Soulja Boy
15,Spencer Dinwiddie
16,Kyle Kuzma
17,Dillon Brooks
18,Chris Paul
19,Jordan Poole
20,JJ Redick
21,Charles Barkley
22,Shaquille O’Neal
23,Sasuke
24,Kobe Bryant
25,Bird Person (from “Rick and Morty”)
26,Jake Paul
27,Sandy Cheeks
28,One Punch Man
29,Kevin Durant
30,Phil Jackson
31,Kurt Cobain
32,Draymond Green
33,Michael Jordan
34,LeBron James
35,Light Yagami
36,Stephen Curry
37,Alex Jones
38,Joe Rogan
39,NELK Boys
40,xqc
41,Hasan Piker
42,Larry David
43,Kanye West
44,Martha Stewart
45,Elon Musk
46,James Harden
47,Sadhguru
48,Mike Tyson
49,/r/im14andthisisdeep
50,Andrew Tate
51,Dave Portnoy
52,Kendrick Lamar
53,Stephen A Smith
54,Malcolm Brogdon
55,Eric Andre
56,Kai Cenat
57,DeMarcus Cousins
58,Mark Zuckerberg
59,iShowSpeed
60,Goku
61,Monkey D. Luffy
